,Reaction,Product
682675,C C 1 ( C = C ( Br ) Br ) C O C 1 . C [Si] ( C ) ( C ) Cl > A_C1CCOC1 A_[Li]CCCC A_CCCCCC,C C 1 ( C # C [Si] ( C ) ( C ) C ) C O C 1
223886,C = C c 1 c c c c c 1 . C C O [SiH] ( O C C ) O C C > A_CC(C)O,C C O [Si] ( C C c 1 c c c c c 1 ) ( O C C ) O C C
233752,C O C Cl . C c 1 c c c c ( O ) c 1 > A_CN(C)C=O A_CCOC(C)=O,C O C O c 1 c c c c ( C ) c 1
99686,C C C C I . C C O C ( = O ) [C@H] ( C ) O > A_CCOCC,C C C C O C ( C ) C ( = O ) O C C
73322,C C ( C ) C C ( = O ) O C ( Cl ) C ( C ) C . [I-] > A_[Na+] A_CC#N,C C ( C ) C C ( = O ) O C ( I ) C ( C ) C
463032,C C 1 C N ( C c 2 c c c c c 2 ) C C C 1 = O > A_C1CCOC1 A_[Li+],C [C@@H] 1 C N ( C c 2 c c c c c 2 ) C C [C@@H] 1 O
791840,C O C ( = O ) c 1 c ( O ) c c ( C = O ) c c 1 F > A_[Na+] A_CO A_Cl A_CCO A_[OH-],O = C c 1 c c ( O ) c ( C ( = O ) O ) c ( F ) c 1
150608,C C C C ( = O ) O C 1 C C ( = O ) N C 1 C C ( C ) C > A_O A_[Na+] A_[OH-],C C C C ( = O ) O [C@H] 1 C C ( = O ) N [C@H] 1 C C ( C ) C
23309,N C 1 = N N C ( N ) ( N 2 C C C C 2 ) C = C 1 > A_CC(C)O,N c 1 c c c ( N 2 C C C C 2 ) n n 1
459575,N C C C C c 1 c c c c c 1 . [N-] = C = O >,O = C = N C C C C c 1 c c c c c 1
773843,C C O C ( = O ) / C = C / C ( F ) ( F ) C ( F ) F > A_O A_[Na+] A_CCO A_[OH-],O = C ( O ) / C = C / C ( F ) ( F ) C ( F ) F
51802,N # C c 1 c c n c ( C O ) c 1 > A_O A_C1CCOC1 A_[Na+] A_[OH-] A_[H-] A_[Li+],N C c 1 c c n c ( C O ) c 1
46345,C 1 C C N C C 1 . C C O C ( = O ) / C = C ( / C ) N > A_CC(C)O,C C O C ( = O ) c 1 c c c n c 1 C
396003,C O . O = C ( O ) C ( O ) c 1 c c ( F ) c c ( F ) c 1 > A_O=S(=O)(O)O,C O C ( = O ) C ( O ) c 1 c c ( F ) c c ( F ) c 1
890468,C C ( C ) N ( C C O ) c 1 c c c c c 1 . O = S ( Cl ) Cl > A_ClCCl,C C ( C ) N ( C C Cl ) c 1 c c c c c 1
493851,C C # C C O c 1 n c n c ( Cl ) c 1 F . C C 1 C C C N C 1 > A_CCO,C C # C C O c 1 n c n c ( N 2 C C C C ( C ) C 2 ) c 1 F
184564,C O C C ( = O ) N C c 1 n c c s 1 > A_[K+] A_O=C([O-])[O-],C O C c 1 n c c 2 s c c n 1 2
200218,Br Br . C c 1 c c c 2 c c c ( Cl ) c c 2 n 1 > A_C1CCOC1 A_CCOC(C)=O A_[Li]CCCC A_CCCCCC A_C[Si](C)(C)Cl A_[Li+],Cl c 1 c c c 2 c c c ( C Br ) n c 2 c 1
769119,Br c 1 c 2 c c c c c 2 c c 2 c c c c c 1 2 > A_[Na+] A_O=C([O-])[O-] A_Cc1ccccc1,c 1 c c c 2 c c ( - c 3 c 4 c c c c c 4 c c 4 c c c c c 3 4 ) c c c 2 c 1
833568,O = C 1 C C ( C ( = O ) O C c 2 c c c c c 2 ) C 1 > A_O A_C1CCOC1 A_[Na+] A_CO,O = C ( O C c 1 c c c c c 1 ) C 1 C C ( O ) C 1
176886,O C ( C C ( Br ) C Br ) c 1 c c c ( F ) c c 1 F > A_O A_CO A_CCOC(C)=O A_[OH-] A_[Br-],F c 1 c c c ( C 2 C C ( Br ) C O 2 ) c ( F ) c 1
864175,O C c 1 c c n ( - c 2 c c c ( F ) c n 2 ) n 1 > A_ClC(Cl)Cl,O = C c 1 c c n ( - c 2 c c c ( F ) c n 2 ) n 1
321656,C C O C ( = O ) C C ( C ) = O . N = C ( N ) N > A_CCO,C c 1 c c ( = O ) n c ( N ) [nH] 1
61974,C C c 1 c ( C ( = O ) O ) o c 2 c c c ( Br ) c c 1 2 > A_C1CCOC1 A_CO,C C c 1 c ( C O ) o c 2 c c c ( Br ) c c 1 2
86418,O = [N+] ( [O-] ) c 1 c c c c c 1 C = N O > A_C1CCOC1 A_[Na+] A_[OH-] A_CC(=O)O A_[Pd] A_[H][H],N C c 1 c c c c c 1 N
207117,C O c 1 c c c ( C C C Br ) c c 1 . N C ( N ) = S > A_O A_[Na+] A_CCO A_[OH-],C O c 1 c c c ( C C C S ) c c 1
39951,C C ( C ) C C O N = O . C O C ( = O ) C c 1 c n s c 1 > A_CO A_[Na],C O C ( = O ) C ( = N O ) c 1 c n s c 1
435177,O = [N+] ( [O-] ) c 1 c c 2 c ( c c 1 Br ) C C N 2 > A_C1COCCO1,O = [N+] ( [O-] ) c 1 c c 2 [nH] c c c 2 c c 1 Br
397382,C C c 1 c c ( Br ) c c c 1 N . N # C Br > A_CCOCC,N # C N c 1 c c c ( Br ) c c 1
822000,O C C 1 ( c 2 c n c c ( Br ) c 2 ) C C 1 > A_CC#N,O = C C 1 ( c 2 c n c c ( Br ) c 2 ) C C 1
274041,C N c 1 c c c 2 c ( c 1 ) O C O 2 . N # C O [Na] >,C N ( C ( N ) = O ) c 1 c c c 2 c ( c 1 ) O C O 2
563319,C O . O = [N+] ( [O-] ) c 1 c ( F ) c c ( Br ) c c 1 F . [OH-] > A_[K+],C O c 1 c c ( Br ) c c ( F ) c 1 [N+] ( = O ) [O-]
136098,C c 1 n n c ( S ) s 1 . Cl C Br > A_O A_[Na+] A_CN(C)C=O A_[H-],C c 1 n n c ( S C Cl ) s 1
121347,C [Si] ( C ) ( C ) c 1 c c c c ( [N+] ( = O ) [O-] ) c 1 > A_[Pd] A_c1ccccc1,C [Si] ( C ) ( C ) c 1 c c c c ( N ) c 1
167214,C S ( = O ) ( = O ) Cl . O C C C C C c 1 c c c c c 1 > A_ClCCl A_CCN(CC)CC,C S ( = O ) ( = O ) O C C C C C c 1 c c c c c 1
898614,O = [N+] ( [O-] ) c 1 c c c ( - c 2 n c c [nH] 2 ) c c 1 > A_CCO A_[Pd],N c 1 c c c ( - c 2 n c c [nH] 2 ) c c 1
370919,C O C ( = O ) c 1 c c ( C C C C F ) c c n 1 > A_O A_C1CCOC1 A_CO A_[OH-] A_[Li+],O = C ( O ) c 1 c c ( C C C C F ) c c n 1
664433,C O C ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c n 1 C > A_O A_C1CCOC1 A_[Na+] A_[OH-],C n 1 c c ( [N+] ( = O ) [O-] ) c c 1 C ( = O ) O
373941,C = C 1 C C ( = O ) C 2 C C 1 C 2 ( C ) C . O = [O+] [O-] > A_CO,C C 1 ( C ) C 2 C C 1 C ( = O ) C C 2 = O
30501,C N ( C ) C = O . C c 1 c c n c c 1 C # N >,C N ( C ) C = C c 1 c c n c c 1 C # N
718827,C O C ( = O ) [C@@H] ( C ) N . O = S 1 ( = O ) C C C O 1 > A_CC#N,C O C ( = O ) [C@@H] ( C ) N C C C S ( = O ) ( = O ) O
156153,C C O C ( = O ) c 1 c c c ( Br ) c ( C ) c 1 > A_O A_Cl A_CCOC(C)=O A_[H-] A_CCOCC A_[Li+],C c 1 c c ( C O ) c c c 1 Br
67796,C c 1 c c c ( C N ) o 1 . O = [N+] ( [O-] ) c 1 c c c c c 1 Cl > A_CCN(CC)CC,C c 1 c c c ( C N c 2 c c c c c 2 [N+] ( = O ) [O-] ) o 1
850511,Br Br . C C O C ( = O ) c 1 c c c [nH] 1 > A_[Na+] A_[OH-] A_ClC(Cl)(Cl)Cl,C C O C ( = O ) c 1 c c ( Br ) c [nH] 1
703620,O C 1 ( c 2 c c c c c 2 C ( F ) ( F ) F ) C C C C 1 > A_CCO A_[Pd] A_[H][H],F C ( F ) ( F ) c 1 c c c c c 1 C 1 C C C C 1
9553,C c 1 c c c c 2 n c c ( Cl ) n c 1 2 . [N-] = [N+] = [N-] > A_[Na+] A_Cl A_CCO,C c 1 c c c c 2 n c c 3 n n n n 3 c 1 2
346195,C O c 1 c c c ( F ) c 2 c c ( C ( N ) = O ) s c 1 2 >,C O c 1 c c c ( F ) c 2 c c ( C # N ) s c 1 2
629036,F c 1 c c c ( C Br ) c c 1 . N c 1 c c [nH] n 1 >,N c 1 c c n ( C c 2 c c c ( F ) c c 2 ) n 1
111475,C c 1 c c c ( N ) c ( N ) c 1 . O = C ( [O-] ) [O-] > A_O A_[K+] A_O=C=O,C c 1 c c c 2 c ( c 1 ) = N C ( = O ) N = 2
20980,C C ( = O ) N C C ( = O ) N N C ( = S ) [S-] > A_[K+] A_O=S(=O)(O)O,C C ( = O ) N C c 1 n n c ( S ) s 1
429333,N # C C C ( N ) = S . O = C c 1 c c c s 1 > A_CCO A_CN1CCOCC1,N # C C ( = C c 1 c c c s 1 ) C ( N ) = S
251080,C S c 1 c c c ( C C ( = O ) O ) c c 1 > A_C1CCOC1 A_CO,C S c 1 c c c ( C C O ) c c 1
486252,N C ( C ( = O ) N 1 C C O C C 1 ) c 1 c c c c c 1 > A_C1CCOC1 A_[H-] A_[Li+],N C ( C N 1 C C O C C 1 ) c 1 c c c c c 1
837181,O = C 1 c 2 c c c c c 2 C ( = O ) N 1 C C C C Br > A_[Na+] A_CO,O = C 1 N C ( = O ) c 2 c c c c c 2 1
441343,C C C C C C N C c 1 c c c c c 1 . O = C ( Cl ) C Br > A_ClCCl A_CCN(CC)CC,C C C C C C N ( C c 1 c c c c c 1 ) C ( = O ) C Br
166782,C C c 1 c c ( O ) n c n 1 . Cl C C Cl > A_O,C C c 1 c c ( Cl ) n c n 1
608832,O = C ( O ) [C@H] 1 C C [C@H] ( O ) C C 1 . O = C ( [O-] ) [O-] > A_[K+] A_CN(C)C=O A_CCOC(C)=O,C O C ( = O ) [C@H] 1 C C [C@@H] ( O ) C C 1
310979,C N 1 C C C ( = O ) C C 1 . N C c 1 c c c ( F ) c c 1 >,C N 1 C C C ( N C c 2 c c c ( F ) c c 2 ) C C 1
848074,C # C C C C ( = O ) O C . Cl c 1 n c c ( Br ) c n 1 > A_CN(C)C=O A_CCN(CC)CC A_[Cl-] A_[NH4+],C O C ( = O ) C C C # C c 1 c n c ( Cl ) n c 1
857752,O C c 1 s c 2 c c c 3 n c c c c 3 c 2 c 1 Br > A_ClCCl,O = C c 1 s c 2 c c c 3 n c c c c 3 c 2 c 1 Br
463938,C c 1 c c 2 c c c ( Cl ) c c 2 c ( Cl ) n 1 > A_O A_[Na+] A_ClCCl A_CCOC(C)=O A_[OH-] A_CC(=O)O,C c 1 c c 2 c c c ( Cl ) c c 2 c n 1
797521,Br C C Br . N c 1 c ( O ) c c c c 1 [N+] ( = O ) [O-] > A_O A_[K+] A_CN(C)C=O A_[OH-],O = [N+] ( [O-] ) c 1 c c c c 2 c 1 N C C O 2
563507,O = C c 1 c n c ( - c 2 c c c c c 2 ) n c 1 > A_O A_[Na+] A_CCO,O C c 1 c n c ( - c 2 c c c c c 2 ) n c 1
434250,C 1 C C N C 1 . C C O C ( = O ) C C # N >,N # C C C ( = O ) N 1 C C C C 1
134261,C C O C ( = O ) c 1 c ( C ) n n 2 c c c c c 1 2 > A_[Na+] A_CO A_[OH-],C c 1 n n 2 c c c c c 2 c 1 C ( = O ) O
121344,C C 1 ( C ( = O ) Cl ) C C 1 F . C C O > A_O=S(=O)(O)O,C C O C ( = O ) C 1 ( C ) C C 1 F
172769,C C O . N c 1 c c ( [N+] ( = O ) [O-] ) c c c 1 O >,O = [N+] ( [O-] ) c 1 c c c c ( - c 2 n c 3 c c ( [N+] ( = O ) [O-] ) c c c 3 o 2 ) c 1
1403,N c 1 c c ( S c 2 c c c s 2 ) c c c 1 [N+] ( = O ) [O-] > A_Cl,N c 1 c c c ( S c 2 c c c s 2 ) c c 1 N
470885,C C ( C ) C ( = O ) Cl . C c 1 c c c c c 1 C > A_O A_Cl A_[Cl-],C c 1 c c c ( C ( = O ) C ( C ) C ) c c 1 C
109853,N = C ( N ) C Cl . S c 1 n n c ( S ) s 1 > A_CN(C)C=O A_Cl A_CCN(CC)CC,N = C ( N ) C S c 1 n n c ( S ) s 1
791024,C = O . N c 1 c ( C ( = O ) O ) c c c c 1 C ( = O ) O >,O = C ( O ) c 1 c c c c 2 c ( = O ) o c n c 1 2
446589,C C I . O = C c 1 c c c ( O ) c ( O ) c 1 > A_[K+] A_CN(C)C=O A_O=C([O-])[O-] A_Cl,C C O c 1 c c c ( C = O ) c c 1 O
806115,C O C ( = O ) c 1 s c c c 1 N . C O C ( O C ) N ( C ) C >,C O C ( = O ) c 1 s c c c 1 N = C N ( C ) C
352089,C N ( C ) C = O . C c 1 c c c ( Br ) n c 1 >,C c 1 c c c ( C # N ) n c 1
166986,O = C ( O ) c 1 c 2 c c c c c 2 n c 2 c c c c c 1 2 > A_Cl A_O=S(Cl)Cl,O = C ( O c 1 c c c c c 1 ) c 1 c 2 c c c c c 2 n c 2 c c c c c 1 2
815335,C [O-] . C n 1 n c ( Br ) c ( Cl ) c ( Cl ) c 1 = O > A_[Na+] A_C1COCCO1,C O c 1 c ( Cl ) c ( Br ) n n ( C ) c 1 = O
792673,N # C [Cu] . O = c 1 [nH] c 2 c c c ( Br ) c c 2 o 1 > A_CN(C)C=O A_CCOC(C)=O,N # C c 1 c c c 2 [nH] c ( = O ) o c 2 c 1
520289,C C ( = O ) Cl . N c 1 c c c ( [N+] ( = O ) [O-] ) c n 1 > A_C1CCOC1 A_c1ccncc1,C C ( = O ) N c 1 c c c ( [N+] ( = O ) [O-] ) c n 1
661066,C O C ( O C ) N ( C ) C . N c 1 c c c ( Cl ) n n 1 >,C N ( C ) C = N c 1 c c c ( Cl ) n n 1
692010,O = C ( O ) C c 1 c c c ( Br ) c n 1 > A_O A_C1CCOC1 A_CC(=O)O,O C C c 1 c c c ( Br ) c n 1
44043,C C O C ( = O ) C N ( C ) C . C c 1 c c c ( Br ) c c 1 >,C c 1 c c c ( C 2 C C ( C N ( C ) C ) O c 3 c c c c c 3 2 ) c c 1
864212,Cl c 1 c c c 2 [nH] c c ( C C C Br ) c 2 c 1 . [N-] = [N+] = [N-] > A_[Na+] A_CN(C)C=O,[N-] = [N+] = N C C C c 1 c [nH] c 2 c c c ( Cl ) c c 1 2
618089,C = C C C C ( O ) c 1 c c c ( F ) c c 1 > A_ClCCl,C = C C C C ( = O ) c 1 c c c ( F ) c c 1
150500,C 1 = C O C C C 1 . O = C c 1 c c c c ( C O ) c 1 > A_ClCCl A_Cc1ccc(S(=O)(=O)O)cc1,O = C c 1 c c c c ( C O C 2 C C C C O 2 ) c 1
600639,C C ( Br ) C Br . C C O C ( = O ) c 1 c [nH] [nH] c 1 = O > A_[K+] A_CN(C)C=O A_O=C([O-])[O-],C C O C ( = O ) c 1 c n n 2 c 1 O C C C 2
100631,C I . S c 1 n c ( S C c 2 c c c c c 2 ) n [nH] 1 > A_O A_[Na+] A_ClCCl A_[OH-] A_[Cl-],C S c 1 n c ( S C c 2 c c c c c 2 ) n [nH] 1
606403,F c 1 c c c ( Br ) c n 1 . O B ( O ) C 1 C C 1 > A_[K+] A_C1COCCO1 A_O=P([O-])([O-])[O-],F c 1 c c c ( C 2 C C 2 ) c n 1
835156,C [Si] ( C ) ( C ) C # N . F c 1 c ( Cl ) c c c c 1 C Br > A_CC#N A_CCCC[N+](CCCC)(CCCC)CCCC,N # C C c 1 c c c c ( Cl ) c 1 F
193286,C 1 C C 2 = [N+] ( C 1 ) C C C 2 . C c 1 c c n c c 1 I > A_CCOCC A_CCCCC,C c 1 c c n c c 1 C 1 2 C C C N 1 C C C 2
890782,C C ( N ) C N . O = C C ( = O ) c 1 c c c c c 1 > A_O A_[K+] A_CCO A_[OH-],C c 1 c n c ( - c 2 c c c c c 2 ) c n 1
252323,C C O . O = C ( O ) c 1 c c c ( B ( O ) O ) c c 1 > A_O=S(=O)(O)O,C C O C ( = O ) c 1 c c c ( B ( O ) O ) c c 1
528349,C O . O = C ( O ) C c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 > A_O=S(=O)(O)O,C O C ( = O ) C c 1 c c c ( [N+] ( = O ) [O-] ) c c 1
485028,C O c 1 c c c 2 c ( c 1 ) C C C ( C ) C 2 O > A_ClCCl A_[K+] A_O=C([O-])[O-],C O c 1 c c c 2 c ( c 1 ) C C C ( C ) C 2
634335,C C O C ( = O ) c 1 [nH] c ( C C ) n c 1 C > A_C1CCOC1 A_CO A_[OH-] A_[Li+],C C c 1 n c ( C ) c ( C ( = O ) O ) [nH] 1
295355,C O c 1 c c c ( Br ) c c 1 N . O = N [O-] > A_O A_[Na+],C O c 1 c c c ( Br ) c c 1 N N
223436,C C O c 1 c c ( C = O ) c c c 1 O C . O N C 1 C C C C C 1 >,C C O c 1 c c ( C = [N+] ( [O-] ) C 2 C C C C C 2 ) c c c 1 O C
302027,C S S ( C ) ( = O ) = O . c 1 c n 2 c n c c 2 s 1 > A_ClCCl A_Cl,C S c 1 n c n 2 c c s c 1 2
460904,C N ( C ) C = O . N # C c 1 c c ( Cl ) c c c 1 F > A_C1CCOC1 A_II,N # C c 1 c c ( C = O ) c c c 1 F
249722,C C ( C ) C C O . N # C C C ( = O ) [O-] > A_O=S(=O)(O)O,C C ( C ) C C O C ( = O ) C C # N
486345,N # C c 1 c c c n c 1 Cl . O c 1 c c c n c 1 >,N # C c 1 c c c n c 1 O c 1 c c c n c 1
25962,N C C C C C C N . O = C c 1 c c c c c 1 O > A_CC(C)O,O c 1 c c c c c 1 C N C C C C C C N C c 1 c c c c c 1 O
386501,O = C ( O ) c 1 c c c ( Br ) c c 1 [N+] ( = O ) [O-] > A_O A_[K+],O = C ( O ) c 1 c c c c c 1
267469,Cl C Br . O = C 1 C C C c 2 c c ( O ) c ( O ) c c 2 1 > A_CC#N,O = C 1 C C C c 2 c c 3 c ( c c 2 1 ) O C O 3
618260,N C C ( C C ( = O ) O ) c 1 c c c ( Cl ) c c 1 > A_ClCCl A_CCN(C(C)C)C(C)C A_O=S(Cl)Cl,O = C 1 C C ( c 2 c c c ( Cl ) c c 2 ) C N 1
639381,C C O C ( = O ) C C C Br . C N 1 C C N C C 1 > A_[K+] A_O=C([O-])[O-] A_CC#N,C C O C ( = O ) C C C N 1 C C N ( C ) C C 1
762500,C n 1 n c c ( C ( O ) c 2 c ( Cl ) n c n c 2 Cl ) c 1 Br > A_ClC(Cl)Cl,C n 1 n c c ( C ( = O ) c 2 c ( Cl ) n c n c 2 Cl ) c 1 Br
83339,O = C c 1 c c ( Br ) c s 1 . c 1 c [nH] c n 1 > A_O,O = C c 1 c c ( - n 2 c c n c 2 ) c s 1
480918,C c 1 c c ( C O ) c c 2 c 1 C C C C 2 . O = S ( Cl ) Cl > A_ClCCl,C c 1 c c ( C Cl ) c c 2 c 1 C C C C 2
251912,N # C c 1 c c ( [N+] ( = O ) [O-] ) c c c 1 F > A_O A_CCO A_[Cl-] A_[NH4+],N # C c 1 c c ( N ) c c c 1 F
365636,O C C 1 C O 1 . c 1 c c c ( - c 2 n c c [nH] 2 ) c c 1 >,O C C ( O ) C n 1 c c n c 1 - c 1 c c c c c 1
203353,C N 1 C C C ( = O ) C C 1 . Cl c 1 c c c 2 c c [nH] c 2 c 1 >,C N 1 C C = C ( c 2 c [nH] c 3 c c ( Cl ) c c c 2 3 ) C C 1
153995,C = [N+] = [N-] . O = C ( O ) c 1 c c c c c 1 C C Br > A_CCOCC,C O C ( = O ) c 1 c c c c c 1 C C Br
368532,C = C C C . C C ( = O ) C C C ( = O ) O > A_O=S(=O)(O)O A_O=CO,C C C C O C ( = O ) C C C ( C ) = O
30468,O = C C ( = O ) O . O c 1 c c c c c 1 . [NH4+] > A_O A_CC(=O)[O-],N C ( C ( = O ) O ) c 1 c c c ( O ) c c 1
114478,C C P ( = O ) ( C C C N ) O C ( C ) C > A_Cl,C C P ( = O ) ( O ) C C C N
74765,C / C ( N ) = C / C # N . C = C 1 C C ( = O ) O 1 >,C C 1 = C C ( = O ) C ( C # N ) C ( C ) = N 1
485737,C = C C N = C = O . C c 1 c c ( O ) n [nH] 1 > A_[K+] A_CN(C)C=O A_O=C([O-])[O-] A_Cl,C = C C N C ( = O ) n 1 n c ( O ) c c 1 C
468387,C O C ( = O ) C C ( = O ) c 1 c c c s 1 . [NH4+] > A_CO A_CC(=O)[O-],C O C ( = O ) C C ( N ) c 1 c c c s 1
149689,C N ( C ) C C C C [N-] [C@H] 1 C C [C@H] ( C ) C C 1 > A_O A_C1CCOC1 A_[Na+] A_[H-] A_O=S(=O)([O-])[O-] A_[Li+],C N ( C ) C C C C N [C@H] 1 C C [C@H] ( C ) C C 1
806064,Br c 1 c c c 2 c c [nH] c 2 c 1 . C S S C > A_C1CCOC1,C S c 1 c c c 2 c c [nH] c 2 c 1
813949,C N ( C ) C C N ( C ) C . C O C ( = O ) C c 1 c c c c n 1 >,C O C ( = O ) C ( = C N ( C ) C ) c 1 c c c c n 1
19908,N C C c 1 c c c c c 1 . O c 1 c c c 2 c c c c c 2 c 1 > A_O,c 1 c c c ( C C N c 2 c c c c 3 c c c c c 2 3 ) c c 1
472017,C C O c 1 c c ( C O ) c c ( O C C ) c 1 N > A_CN(C)C=O,C C O c 1 c c ( C = O ) c c ( O C C ) c 1 N
285232,C C ( = O ) O C ( C ) = O . O C C c 1 c c c c c 1 > A_ClCCl,C C ( = O ) O C C c 1 c c c c c 1
851345,C C C C C C C C C C C C ( = O ) O C > A_O,C C C C C C C C C C C C ( = O ) O
360070,C N ( C ) C = O . Cl c 1 c c c c ( Br ) c 1 > A_O A_C1CCOC1 A_CCOC(C)=O A_CC(=O)O A_[Li]CCCC,O = C c 1 c ( Cl ) c c c c 1 Br
815346,N # C c 1 c ( N ) c c c c 1 Br . O = C ( [O-] ) [O-] > A_[K+] A_C1COCCO1,C O c 1 c c c c ( - c 2 c c c c ( N ) c 2 C # N ) c 1
326203,C C I . C O c 1 c c ( I ) c c ( O C ) c 1 O > A_[Na+] A_CN(C)C=O A_Cl A_[H-],C C O c 1 c ( O C ) c c ( I ) c c 1 O C
396186,C O C ( = O ) c 1 c c ( O ) c ( C ( C ) = O ) s 1 > A_[Na+] A_[OH-],C C ( = O ) c 1 s c c c 1 O
129485,C C ( = O ) O C ( C ) = O . C C ( C ) ( C O ) C S C # N > A_c1ccncc1,C C ( = O ) O C C ( C ) ( C ) C S C # N
8693,O C C ( O ) c 1 c c c ( C 2 C C C C C 2 ) c ( Cl ) c 1 > A_C1CCOC1 A_CCOCC,O = C c 1 c c c ( C 2 C C C C C 2 ) c ( Cl ) c 1
182802,O = [PH] ( c 1 c c c c c 1 ) c 1 c c c c c 1 > A_[Cl-],c 1 c c c ( P c 2 c c c c c 2 ) c c 1
558861,C c 1 c c ( C # N ) c c c 1 C ( = O ) O . [OH-] > A_O A_[Na+] A_[K+] A_[Cl-] A_CC(C)(C)O,C c 1 c c ( C ( N ) = O ) c c c 1 C ( = O ) O
295802,C C O C ( C ) = O . C O c 1 c c c ( C O ) c c 1 Br > A_O A_C1CCOC1 A_[Na+] A_[H-],C O C c 1 c c c ( O C ) c ( Br ) c 1
443014,C O C ( = O ) c 1 n n ( C ) n c 1 C ( = O ) O C > A_[K+] A_CO A_[OH-],C O C ( = O ) c 1 n n ( C ) n c 1 C ( = O ) O
46175,O = C c 1 c s c ( Br ) c 1 . O C C O . c 1 c c c c c 1 > A_O A_Cc1ccc(S(=O)(=O)O)cc1,c 1 c c c ( - c 2 c c ( C 3 O C C O 3 ) c s 2 ) c c 1
435144,C C C = O . N N c 1 c c c c ( [N+] ( = O ) [O-] ) c 1 > A_[Na+] A_Cl A_CCO A_[OH-] A_CC(=O)O,C C C = N N c 1 c c c c ( [N+] ( = O ) [O-] ) c 1
689887,Br C C 1 C C 1 . O c 1 c c n c ( Br ) c 1 > A_CN(C)C=O A_O=C([O-])[O-] A_[Cs+],Br c 1 c c ( O C C 2 C C 2 ) c c n 1
386386,C C O C ( = O ) C = C c 1 c c c ( Br ) c c 1 . Cl C Cl > A_CCOCC A_CC(=O)[O-],C C O C ( = O ) [C@@H] 1 C [C@H] 1 c 1 c c c ( Br ) c c 1
722761,C S ( = O ) ( = O ) Cl . C n 1 c c ( C O ) c n 1 > A_ClCCl A_CCN(CC)CC,C n 1 c c ( C O S ( C ) ( = O ) = O ) c n 1
76342,C I . O = C 1 N C ( = O ) N ( C 2 C C C C C 2 ) C 1 O > A_CO A_C[O-],C N 1 C ( = O ) C ( O ) N ( C 2 C C C C C 2 ) C 1 = O
729641,C C O C ( C Br ) O C C . C [C@@H] ( N ) c 1 c c c c c 1 >,C C O C ( C N [C@H] ( C ) c 1 c c c c c 1 ) O C C
141734,Br C C c 1 c c c c c 1 . C C c 1 c c n c c 1 C >,C c 1 c n c c c 1 C ( C ) C C c 1 c c c c c 1
196039,C C C N 1 C [C@@H] ( C ( = O ) O C ) C ( = O ) C [C@@H] 1 C > A_[Na+] A_Cl A_[OH-],C C C N 1 C C C ( = O ) C C 1 C
123379,O = C ( O ) C C c 1 c c c ( Cl ) c c 1 > A_C1CCOC1,O C C C c 1 c c c ( Cl ) c c 1
813290,C c 1 c c ( O ) n c ( S ) n 1 . Cl c 1 c [nH] n c 1 C Br >,C c 1 c c ( O ) n c ( S C c 2 n [nH] c c 2 Cl ) n 1
688759,Br Br . O c 1 n c c c 2 s c 3 c c c ( Cl ) c c 3 c 1 2 > A_O A_CC(=O)O,O c 1 n c c ( Br ) c 2 s c 3 c c c ( Cl ) c c 3 c 1 2
165276,C # C C ( = O ) O . O C C C C C C c 1 c c c c c 1 > A_CCOCC A_CN(C)c1ccncc1,C # C C ( = O ) O C C C C C C c 1 c c c c c 1
54105,C O . C c 1 c c c 2 c c ( C ( = O ) O ) [nH] c 2 c 1 >,C O C ( = O ) c 1 c c 2 c c c ( C ) c c 2 [nH] 1
63584,C I . C c 1 c c c c ( C ) c 1 C c 1 c [nH] c n 1 > A_[Na+] A_[OH-] A_Cc1ccccc1 A_CCCC[N+](CCCC)(CCCC)CCCC,C c 1 c c c c ( C ) c 1 C c 1 c n ( C ) c n 1
781380,C C ( = O ) N c 1 c c c ( Br ) c c 1 C ( C ) = O . [NH4+] > A_CC(=O)O A_CC(=O)[O-],C c 1 n c ( C ) c 2 c c ( Br ) c c c 2 n 1
866411,C N ( C ) C = O . O = C ( O ) c 1 c s c c 1 Br > A_C1CCOC1 A_[Li]CCCC,O = C c 1 s c c ( Br ) c 1 C ( = O ) O
180285,C C C 1 N = C ( c 2 c c c c c 2 ) N C ( O ) C 1 C > A_[K+] A_CCO A_CC(C)=O,C C C 1 N C ( c 2 c c c c c 2 ) = N C ( = O ) C 1 C
124757,C = C C c 1 c c c 2 c ( c 1 ) O C O 2 . Cl > A_CCOC(C)=O,C C ( Cl ) C c 1 c c c 2 c ( c 1 ) O C O 2
140981,O = C ( O ) [C@@H] ( O ) C c 1 c c c c c 1 . O C C Cl >,O = C ( O C C Cl ) C ( O ) C c 1 c c c c c 1
808302,C O C O c 1 c c c ( O C ) c c 1 . O = C N 1 C C C C C 1 > A_C1CCOC1,C O C O c 1 c c c ( O C ) c ( C = O ) c 1
817801,C c 1 c c ( C ) c c ( C ( = O ) Cl ) c 1 . [Cl-] > A_[Cl-],C c 1 c c ( C ) c c ( C ( = O ) c 2 c c c ( Cl ) c c 2 ) c 1
805666,C / C ( = C \ C 1 C C C ( C ) C C 1 ) C C C = O > A_[Pd] A_C1CCCCC1,C C 1 C C C ( C C ( C ) C C C = O ) C C 1
